product_id,product_name,price
141,Smart Watch,173.8
118,Backpack,1154.89
148,Smart Watch,3399.66
135,Smart Watch,2972.94
103,Wireless Earbuds,513.79
115,Bluetooth Speaker,3029.99
136,Backpack,3594.3
145,Bluetooth Speaker,2126.62
129,Yoga Mat,1427.04
101,Sunglasses,4038.81
145,Desk Lamp,1734.24
110,Backpack,4788.2
122,Smart Watch,509.09
107,Coffee Mug,4245.1
139,Notebook,4045.28
147,Office Chair,2704.33
125,Smart Watch,2782.6
141,Yoga Mat,4432.99
124,Yoga Mat,1001.83
105,Wireless Earbuds,3323.25
150,Notebook,4926.85
115,Bedsheet Set,549.96
118,Office Chair,3196.64
124,USB-C Cable,1882.4
114,Running Shoes,1371.54
144,Running Shoes,403.44
141,USB-C Cable,2693.99
116,USB-C Cable,2338.19
118,Running Shoes,3456.4
115,Running Shoes,1655.2
150,Sunglasses,326.89
103,Sunglasses,1611.49
118,Smart Watch,1094.37
137,Water Bottle,1607.66
142,Office Chair,2008.38
142,Office Chair,757.21
109,Backpack,3737.7
135,Notebook,3747.72
128,Yoga Mat,2027.03
115,USB-C Cable,2572.16
106,Sunglasses,283.23
108,USB-C Cable,3155.86
144,Desk Lamp,3002.22
125,Desk Lamp,2999.65
130,Bluetooth Speaker,1294.5
136,Bedsheet Set,4715.03
144,Water Bottle,617.03
135,Sunglasses,1370.78
142,Coffee Mug,602.18
128,USB-C Cable,2295.93
203,Notebook,104586.0
210,Office Chair,55797.0
245,Sunglasses,14895.0
239,Office Chair,91544.0
233,Desk Lamp,86705.0
240,Bedsheet Set,142092.0
249,Desk Lamp,59393.0
204,Bedsheet Set,16542.0
208,Desk Lamp,23443.0
211,Bluetooth Speaker,125259.0
209,Sunglasses,58334.0
233,Notebook,86486.0
225,Smart Watch,7814.0
204,USB-C Cable,141315.0
211,Notebook,41654.0
205,Bluetooth Speaker,93717.0
238,Running Shoes,139952.0
244,Wireless Earbuds,14568.0
240,Office Chair,118139.0
247,Coffee Mug,49862.0
243,Water Bottle,66099.0
209,Bedsheet Set,12483.0
221,Wireless Earbuds,131520.0
218,Coffee Mug,109379.0
244,Yoga Mat,11017.0
236,Running Shoes,17439.0
232,Sunglasses,109422.0
224,Water Bottle,65382.0
231,Desk Lamp,90478.0
206,Coffee Mug,19510.0
206,Bedsheet Set,99888.0
210,Yoga Mat,121217.0
207,Water Bottle,80511.0
229,Yoga Mat,6177.0
201,Smart Watch,135578.0
208,USB-C Cable,110321.0
250,Bedsheet Set,132813.0
222,Smart Watch,107733.0
232,Notebook,140633.0
245,Office Chair,126631.0
225,Smart Watch,106998.0
206,Water Bottle,31311.0
244,Desk Lamp,29501.0
237,Desk Lamp,39418.0
238,Desk Lamp,136912.0
221,Desk Lamp,52376.0
212,Bluetooth Speaker,27086.0
213,Water Bottle,110780.0
204,Running Shoes,35397.0
220,Backpack,52137.0
